keyword,method,tier,tier_limit,rank,brand,mention_count,sov_percentage,total_records,calculated_at
缕灵,simple,top100,100,38,威娜,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,39,K18,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,40,Epres,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,41,Philipb,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,42,三生花,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,43,百雀羚,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,44,半亩花田,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,45,黛丝恩,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,46,若也,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,47,寇斯汀,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,48,迷莲卡薇,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,49,馥绿德雅,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,50,Clear,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,51,植观,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,52,Aussie,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,53,英国lush,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,54,英国the Body Shop,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,55,英国soap Glory,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,56,吕,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,57,霸王,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,58,二硫化硒,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,59,Shiseido,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,60,大卫,1,0.61,164,2025-06-10 11:48:06
缕灵,simple,top100,100,61,L'oreal,1,0.61,164,2025-06-10 11:48:06
